id;kabupaten;nama_kabupaten;latitude;longitude;geom;provinsi_id
1171;1171;KOTA BANDA ACEH;11;;5.5611019;95.3287025
1172;1172;KOTA SABANG;11;;5.9666973;95.2358603
1173;1173;KOTA LHOKSEUMAWE;11;;5.1718900;97.1076359
1174;1174;KOTA LANGSA;11;;4.5064190;98.0003341
1175;1175;KOTA SUBULUSSALAM;11;;2.7572260;97.9416691
1271;1271;KOTA MEDAN;12;;3.6422865;98.6694935
1273;1273;KOTA SIBOLGA;12;;1.7308220;98.7840604
1274;1274;KOTA TANJUNG BALAI;12;;2.9672575;99.7880078
1275;1275;KOTA BINJAI;12;;3.6223245;98.5012039
1276;1276;KOTA TEBING TINGGI;12;;3.3280670;99.1541265
1277;1277;KOTA PADANG SIDEMPUAN;12;;1.3677723;99.2810992
1278;1278;KOTA GUNUNGSITOLI;12;;1.2990104;97.6079051
1371;1371;KOTA PADANG;13;;-0.9345836;100.3912699
1372;1372;KOTA SOLOK;13;;-0.7899398;100.6533184
1373;1373;KOTA SAWAHLUNTO;13;;-0.5935983;100.7371292
1374;1374;KOTA PADANG PANJANG;13;;-0.4653922;100.3951852
1375;1375;KOTA BUKITTINGGI;13;;-0.3027606;100.3719801
1376;1376;KOTA PAYAKUMBUH;13;;-0.2294954;100.6327529
1377;1377;KOTA PARIAMAN;13;;-0.6097223;100.1278125
1471;1471;KOTA PEKANBARU;14;;0.5137912;101.4411760
1472;1472;KOTA DUMAI;14;;1.6675758;101.4114590
1571;1571;KOTA JAMBI;15;;-1.6104362;103.6095285
1572;1572;KOTA SUNGAI PENUH;15;;-2.0670525;101.4115693
1671;1671;KOTA PALEMBANG;16;;-2.9549685;104.7629646
1672;1672;KOTA PAGAR ALAM;16;;-4.0435652;103.2194006
1673;1673;KOTA LUBUK LINGGAU;16;;-3.2996427;102.8779769
1674;1674;KOTA PRABUMULIH;16;;-3.4164714;104.2452666
1771;1771;KOTA BENGKULU;17;;-3.8253459;102.3045787
1871;1871;KOTA BANDAR LAMPUNG;18;;-5.4286721;105.2707381
1872;1872;KOTA METRO;18;;-5.1210842;105.3070667
1971;1971;KOTA PANGKAL PINANG;19;;-2.1159948;106.1205269
2171;2171;KOTA BATAM;21;;0.8371660;104.0531150
2172;2172;KOTA TANJUNG PINANG;21;;0.9170620;104.4845973
3171;3171;KOTA ADM. JAKARTA PUSAT;31;;-6.1823130;106.8364646
3172;3172;KOTA ADM. JAKARTA UTARA;31;;-6.1358859;106.8419005
3173;3173;KOTA ADM. JAKARTA BARAT;31;;-7.5366400;110.8180992
3174;3174;KOTA ADM. JAKARTA SELATAN;31;;-7.5366400;110.8180992
3175;3175;KOTA ADM. JAKARTA TIMUR;31;;-7.5366400;110.8180992
3271;3271;KOTA BOGOR;32;;-6.5951935;106.7918920
3272;3272;KOTA SUKABUMI;32;;-6.9370139;106.9173099
3273;3273;KOTA BANDUNG;32;;-6.9034495;107.6431575
